Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Menu,Category,Subcategory,Item,Price,Description,Image
Imported item 127,imported-item-127,67cdad02e3ca9f1f188d1e33,67cdadb8b17e495ca4834352,false,false,Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,WINE & BUBBLES,Glass,Pinot Grigio,$10,,
Imported item 128,imported-item-128,67cdad02e3ca9f1f188d1e33,67cdadb8bb8ec5925b381a0a,false,false,Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,WINE & BUBBLES,Glass,Sauvignon Blanc,$11,,
Imported item 129,imported-item-129,67cdad02e3ca9f1f188d1e33,67cdadb8b6f41ed818aa31cd,false,false,Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:20 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,WINE & BUBBLES,Glass,Moscato,$8,,
Imported item 13,imported-item-13,67cdad02e3ca9f1f188d1e33,67cdadb0b6f41ed818aa12fb,false,false,Sun Mar 09 2025 15:03:12 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:12 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena’s Dallas Menu,BEER,PREMIUM BEER,Deep Ellum Dallas Blonde,$7,,
Imported item 130,imported-item-130,67cdad02e3ca9f1f188d1e33,67cdadb908ea1ae1f6fe405c,false,false,Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,WINE & BUBBLES,Glass,Cabernet,$10,,
Imported item 131,imported-item-131,67cdad02e3ca9f1f188d1e33,67cdadb908ea1ae1f6fe4065,false,false,Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,WINE & BUBBLES,Glass,Pinot Noir,$11,,
Imported item 132,imported-item-132,67cdad02e3ca9f1f188d1e33,67cdadb96027fcffa390e239,false,false,Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,WINE & BUBBLES,Glass,Champagne Split (187ml),$12,,
Imported item 133,imported-item-133,67cdad02e3ca9f1f188d1e33,67cdadb9bca3340026261b90,false,false,Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,WINE & BUBBLES,Bottle,House Champagne,$25,,
Imported item 134,imported-item-134,67cdad02e3ca9f1f188d1e33,67cdadb9e3ca9f1f188e89e5,false,false,Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,WINE & BUBBLES,Bottle,Moët & Chandon (750ml),$120,,
Imported item 135,imported-item-135,67cdad02e3ca9f1f188d1e33,67cdadb9adb52702c2e47d48,false,false,Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,FROZENRITA'S & DAIQUIRIS,,PEACH FRITA,$12,Frozen Peach Margarita,
Imported item 136,imported-item-136,67cdad02e3ca9f1f188d1e33,67cdadb95380c492c5e8cf4c,false,false,Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,FROZENRITA'S & DAIQUIRIS,,TEXAS RANGER,$15,Frozen Margarita with a 7 oz Corona,
Imported item 137,imported-item-137,67cdad02e3ca9f1f188d1e33,67cdadb9f0468475cfd1f2bd,false,false,Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,FROZENRITA'S & DAIQUIRIS,,ELECTRIC HYENA,$13,Margarita Made With Patron Silver & Blue Curacao on the Rocks,
Imported item 138,imported-item-138,67cdad02e3ca9f1f188d1e33,67cdadb9b6f41ed818aa325e,false,false,Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,FROZENRITA'S & DAIQUIRIS,,STRAWBERRY FRITA,$12,Frozen Margarita Swirled with Strawberry,
Imported item 139,imported-item-139,67cdad02e3ca9f1f188d1e33,67cdadb92a301dcf0be17508,false,false,Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:21 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena's Albuquerque Menu,FROZENRITA'S & DAIQUIRIS,,SANGRIA SWIRL,$12,Frozen Margarita Swirled with Sangria,
Imported item 14,imported-item-14,67cdad02e3ca9f1f188d1e33,67cdadb05863caa70b8df7f1,false,false,Sun Mar 09 2025 15:03:12 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 15:03:12 GMT+0000 (Coordinated Universal Time),Sun Mar 09 2025 16:14:37 GMT+0000 (Coordinated Universal Time),Hyena’s Dallas Menu,BEER,PREMIUM BEER,Coors Original,$7,,
